number,name,is_ans,name_object,date_norm,date_buckets_2,author_norm,address,district,district_norm,protection_category_norm,base,id_object
5429,Дворцово-парковый ансамбль Сергиевка,1,Грот,1900,1900-1949,,"г. Петергоф, в овраге западнее дворца",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6218
5430,Дворцово-парковый ансамбль Сергиевка,1,Фонтан,1900,1900-1949,,"г. Петергоф, в овраге западнее дворца",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6253
5431,Дворцово-парковый ансамбль Сергиевка,1,Пруд Оранжерейный,1900,1900-1949,,"г. Петергоф, восточнее оранжерей",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6250
5432,Дворцово-парковый ансамбль Сергиевка,1,Оранжереи (две),1840,1800-1849,Штакеншнейдер А.И,"г. Петергоф, западнее дворца",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,10818
5433,Дворцово-парковый ансамбль Сергиевка,1,Ферма,1820,1800-1849,,"г. Петергоф, западнее дворца",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6220
5434,Дворцово-парковый ансамбль Сергиевка,1,Парк,1800,1800-1849,Штакеншнейдер А.И.;Эрлер П.И,"г. Петергоф, между ж.д. платформой ""Университет"" и берегом Финского залива",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6251
5435,Дворцово-парковый ансамбль Сергиевка,1,Мост-плотина Большого пруда,1900,1900-1949,,"г. Петергоф, на Большом пруду, перед Восточной протокой",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6246
5436,Дворцово-парковый ансамбль Сергиевка,1,Большая каменная плотина,1900,1900-1949,,"г. Петергоф, на западной протоке",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6212
5437,Дворцово-парковый ансамбль Сергиевка,1,Малая каменная плотина,1900,1900-1949,,"г. Петергоф, на западной протоке, севернее моста-плотины Оранжерейного пруда",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6213
5438,Дворцово-парковый ансамбль Сергиевка,1,Мост-плотина,1900,1900-1949,,"г. Петергоф, на протоке у Оранжерейного пруда",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6247
5439,Дворцово-парковый ансамбль Сергиевка,1,Мост-плотина,1900,1900-1949,,"г. Петергоф, на протоке у Южного пруда",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6248
5440,Дворцово-парковый ансамбль Сергиевка,1,"Лестницы, постаменты, элементы декоративного оформления водотоков, источников",1900,1900-1949,,"г. Петергоф, парк Сергиевки",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6252
5441,Дворцово-парковый ансамбль Сергиевка,1,"Скульптура у источника (""Голова"")",1900,1900-1949,,"г. Петергоф, центральная часть парка",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6214
5442,Дворцово-парковый ансамбль Сергиевка,1,Пруд Большой с островом,1900,1900-1949,,"г. Петергоф, центральная часть парка",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6216
5443,Дворцово-парковый ансамбль Сергиевка,1,Мосты-плотины (восемнадцать),1900,1900-1949,,"г. Петергоф, через западную и восточную протоки",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,10562
5444,Дворцово-парковый ансамбль Сергиевка,1,Корпус Гофмейстерский (Кавалерский),1840,1800-1849,Штакеншнейдер А.И,"г. Петергоф, юго-восточнее дворца",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6217
5445,Дворцово-парковый ансамбль Сергиевка,1,Корпус Кухонный,1840,1800-1849,Штакеншнейдер А.И.;Зейдеман В.И,"г. Петергоф, юго-восточнее дворца",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6224
5446,Дворцово-парковый ансамбль Сергиевка,1,Английский домик,1820,1800-1849,,"г. Петергоф, юго-западнее дворца",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6211
5447,Дворцово-парковый ансамбль Сергиевка,1,Банный домик,1800,1800-1849,Штакеншнейдер А.И,"г. Петергоф, юго-западнее дворца",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6215
5448,Дворцово-парковый ансамбль Сергиевка,1,Русло реки Кристателька,NA,,,"г. Петергоф, южная часть парка",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6255
5449,Дворцово-парковый ансамбль Сергиевка,1,Пруд Южный,1900,1900-1949,,"г. Петергоф, южная часть парка",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6256
5450,Дворцово-парковый ансамбль Сергиевка,1,Мост,1900,1900-1949,,"г. Петергоф, южная часть парка, через протоку к Огородному пруду",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6225
5451,Дворцово-парковый ансамбль Сергиевка,1,Мосты (два),1900,1900-1949,,"г. Петергоф, южная часть парка, через ручей к Огородному пруду",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6226
5452,Дворцово-парковый ансамбль Сергиевка,1,Церковь Святой Екатерины,1845,1800-1849,Штакеншнейдер А.И,"г. Петергоф, южнее дворца",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6254
5453,Дворцово-парковый ансамбль Сергиевка,1,Пруд Огородный,1900,1900-1949,,"г. Петергоф, южнее оранжерей",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6249
5454,,0,Церковь святого преподобного Серафима Саровского подворья Серафимо-Дивеевского монастыря,1904,1900-1949,Никонов Н.Н,"г. Петергоф, Ораниенбаумское шоссе, д. 11",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6257
5455,,0,б. Здание Уездных присутственных мест,1848,1800-1849,И.И. Шарлемань 1й,"г. Петергоф, Петергофская ул., 11 (б. ул. Луначарского)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 650 от 25.08.1975,6259
5456,,0,Флигели присутственных мест,1848,1800-1849,И.И. Шарлемань 1й,"г. Петергоф, Петергофская ул., 13, 15 (б. ул. Луначарского)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,10524
5457,,0,Богадельня с флигелем,1879,1850-1899,Бенуа Н.Л.;Ган Э.Л.;Семенов А.И,"г. Петергоф, Петергофская ул., 14",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6262
5458,,0,Военный госпиталь,1830,1800-1849,,"г. Петергоф, Петергофская ул., 17",Петродворцовый,14,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,6266
5459,Военный госпиталь,1,Фонтан и ворота,1910,1900-1949,,"г. Петергоф, Петергофская ул., 17",Петродворцовый,14,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,10904
5460,Военный госпиталь,1,Аптека,1910,1900-1949,,"г. Петергоф, Петергофская ул., 17",Петродворцовый,14,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,6268
5461,Военный госпиталь,1,Поликлиника,1910,1900-1949,,"г. Петергоф, Петергофская ул., 17",Петродворцовый,14,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,6269
5462,Военный госпиталь,1,Штаб,1830,1800-1849,,"г. Петергоф, Петергофская ул., 17",Петродворцовый,14,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,6270
5463,Военный госпиталь,1,Сад,1910,1900-1949,,"г. Петергоф, Петергофская ул., 17",Петродворцовый,14,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,6271
5464,Военный госпиталь,1,Хирургический корпус,1910,1900-1949,,"г. Петергоф, Петергофская ул., 17",Петродворцовый,14,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,6273
5465,,0,"Мемориал в память обороны города в 1941-1944 гг. – ""Зеленый пояс Славы Ленинграда"". ""Приморский""",1961,1950-1999,Воронихина Т.Н.;Мелихова М.К.;Щербин В;Маслов В.С.;Долотов С.;Хлопкин Н.В.;Шапочкин И.И,"г. Петергоф, Петергофская ул., развилка шоссе Ломоносов-Гостилицы",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,5604
5466,,0,"Могила Зайончковской-Хвощинской (В. Крестовский) Н.Д. (1824-1889), писательницы",NA,,,"г. Петергоф, Петергофское кладбище",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,5835
5467,,0,"Братская могила героев-красногвардейцев, погибших при наступлении банд Юденича на Петроград в 1919 году",NA,,,"г. Петергоф, Петергофское шоссе",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 757 от 24.10.1977,6664
5468,,0,Дома Кавалерские с палисадниками (шесть),1799,1750-1799,Броуэр Ф.П,"г. Петергоф, Правленская ул., 1, 2, 4, 6, 8, 10",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,10563
5469,,0,Дом Верхнесадский,1846,1800-1849,Бенуа Н.Л,"г. Петергоф, Правленская ул., 11",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6280
