number,name,is_ans,name_object,date_norm,date_buckets_2,author_norm,address,district,district_norm,protection_category_norm,base,id_object
1,,0,Здание Консисторского управления Могилевской Римско-католической архиепархии с костелом Успения Девы Марии (Духовная семинария Римско-католической архиепархии),1870,1850-1899,В.И. Собольщиков;Е.С. Воротилов;Е.С. Воротилов;С.И. Садиков;А.Д. Фиалковский;Л.П. Шишко,"1-я Красноармейская ул., 11, лит. А, Б",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,669
2,,0,Здание манежа (экзерциргауса) лейб-гвардии Измайловского полка,1795,1750-1799,Кварнеги Дж,"1-я Красноармейская ул., 13; Измайловский пр., 2-а",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,1066
3,,0,"Дом, где в начале 1895 г. Ленин В.И. встречался с петербургскими социал-демократами",NA,,,"1-я Красноармейская ул., 22",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,1
4,,0,Трансформаторная подстанция,1906,1900-1949,Горенберг Л.Б,"11-я Красноармейская ул., 28",Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 963 от 05.12.1988,2
5,,0,Дом А.Н. Васильева,1912,1900-1949,Г.И. Котенков,"12-я Красноармейская ул., 3, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 229-рп от 28.09.2021; Распоряжение КГИОП № 446-рп от 10.04.2024,697
6,,0,Манеж графа Г.И. Рибопьера (Здание Санкт-Петербургского атлетического общества),1887,1850-1899,А.А. Степанов;М.С. Шуцман,"2-я Красноармейская ул., 12",Адмиралтейский,1,1,Распоряжение КГИОП № 10-26 от 15.09.2009,675
7,,0,Особняк и доходный дом Н.Г. Кудрявцева,1878,1850-1899,Н.Г. Кудрявцев,"4-я Красноармейская ул., 12/11, лит. А",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,677
8,,0,Дом Закуриной,1855,1850-1899,Барч Г.М,"5-я Красноармейская ул., 19",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,3
9,,0,Дом З.Н. Левина,1850,1850-1899,А.И. Зазерский,"6-я Красноармейская ул., 15, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 227-рп от 28.09.2021; Распоряжение КГИОП № 445-рп от 10.04.2024,685
10,,0,Дом Е.Е. Глухарева,1905,1900-1949,Л.М. Харламов,"7-я Красноармейская ул., 7, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 228-рп от 28.09.2021; Распоряжение КГИОП № 669-рп от 01.08.2023,687
11,,0,"Дом, где в 1901-1907 гг. жил шахматист Чигорин М.И",NA,,,"9-я Красноармейская ул., 15",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,5
12,,0,Адмиралтейский бульвар,1800,1800-1849,,Адмиралтейская наб,Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 849 от 31.10.1988,6
13,,0,Набережная Адмиралтейская,2000,2000-2049,,"Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10183
14,Набережная Адмиралтейская,1,Спуск Дворцовый со львами и пристанью,1820,1800-1849,Готман А.Д.;Шарлемань Л.И.;Пшеницкий А.П,"Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10184
15,Набережная Адмиралтейская,1,Спуск Петровский с вазами и пристанью,1820,1800-1849,Готман А.Д.;Карлович В.М.;Селянинов С.С,"Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10185
16,Набережная Адмиралтейская,1,Набережная,1873,1850-1899,Карлович В.М.;Селянинов С.С,"Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10186
17,,0,"Дом, где жили: в 1906-1910 гг. физик Голицин Б.Б., в 1890 г., в 1893 г. - композитор Чайковский П.И",NA,,,"Адмиралтейская наб., 10; Черноморский пер., 7",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,13
18,,0,Главное Адмиралтейство,1704,1700-1749,Петра 1;Коробов И.К.;Захаров А.Д,"Адмиралтейская наб., 2, 16; Адмиралтейский пр., 1",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,8
19,,0,Дом Т.В. Макаровой,1879,1850-1899,А.Х. Кольб,"Адмиралтейская наб., 6; Азовский пер., 2; Черноморский пер., 3",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,443
20,,0,Дворец Великого князя Михаила Михайловича,1884,1850-1899,Месмахер М.Е.;Бергштрессер П.К,"Адмиралтейская наб., 8; Черноморский пер., 4, 5; Азовский пер., 1",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10
21,Дворец Великого князя Михаила Михайловича,1,Дворец,1884,1850-1899,Месмахер М.Е.;Бергштрессер П.К,"Адмиралтейская наб., 8; Черноморский пер., 5; Азовский пер., 1",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,11
22,Дворец Великого князя Михаила Михайловича,1,Служебный дом,1884,1850-1899,Месмахер М.Е,"Черноморский пер., 4",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,12
23,,0,Александровский сад,1872,1850-1899,Регель Э.Л.;Ильин Л.А,"Адмиралтейская наб., Адмиралтейский пр., Дворцовая пл., Адмиралтейский просп., Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,16
24,Александровский сад,1,Ограда,1872,1850-1899,Жоффрио К,Адмиралтейская наб,Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10400
25,Александровский сад,1,Ограда,1872,1850-1899,Жоффрио К,"Адмиралтейский пр., Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,22
26,Александровский сад,1,Сад,1872,1850-1899,Регель Э.Л.;Ильин Л.А,"Адмиралтейский пр., Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,23
27,Александровский сад,1,"Статуя ""Геракл Фарнезский""",1800,1800-1849,Копия Гликона,"Адмиралтейский пр., Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,24
28,Александровский сад,1,"Статуя ""Флора Фарнезская""",1800,1800-1849,Копия 3,"Адмиралтейский пр., Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,25
29,Александровский сад,1,Фонтан,1875,1850-1899,Мерц И.А.;Гешвенд А.Р,"Адмиралтейский пр., Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,26
30,Александровский сад,1,Бюст географа Пржевальского Н.М,1892,1850-1899,Шредер И.Н.;Рунеберг Р.И.;Бильдерлинг А.А,Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл,Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,17
31,Александровский сад,1,Бюст композитора Глинки М.И,1899,1850-1899,Пащенко В.П.;Лыткин А.С,Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл,Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,18
32,Александровский сад,1,Бюст писателя Гоголя Н.В,1896,1850-1899,Крейтан В.П.;Максимов А.П,Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл,Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,19
33,Александровский сад,1,Бюст поэта Жуковского В.А,1887,1850-1899,Крейтан В.П.;Лыткин А.С,Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл,Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,20
34,Александровский сад,1,Бюст поэта Лермонтова М.Ю,1896,1850-1899,Крейтан В.П.;Максимов А.П,Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл,Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,21
35,,0,Здания Государственного Дворянского земельного банка,1877,1850-1899,Н.Л. Бенуа;А.И. Кракау;А.В. Иванов;А.В. Друкер;К.К. Тарасов,"Адмиралтейская наб., д. 12-14, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 6-р от 13.01.2017,444
36,,0,"Дом, где в 1866-1870 гг. находилась ""Артель художников"" и жил художник Крамской И.Н",NA,,,"Адмиралтейский пр., 10; Вознесенский пр., 2",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,14
37,,0,Дом Лобанова-Ростовского А.Я,1817,1800-1849,Монферран О.Р.;Трискорни П,"Адмиралтейский пр., 12; Исаакиевская пл., 2; Вознесенский пр., 1",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,15
38,,0,Дом Л.И. Штиглица (Запасной дворец вел. кн. Павла Александровича),1824,1800-1849,С.А. Поленов,"Адмиралтейского кан. наб., 29; Галерная ул., 54",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,449
39,,0,Набережная Английская,1770,1750-1799,Фельтен Ю.М.;Бетанкур А.А,"Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10191
40,Набережная Английская,1,Устой береговой Исаакиевского наплавного моста с лестничными спусками,1770,1750-1799,Фельтен Ю.М.;Бетанкур А.А,"Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10597
41,Набережная Английская,1,Набережная,1770,1750-1799,Фельтен Ю.М,"Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10192
42,,0,"Памятник-стела в честь революционного крейсера ""Аврора""",1939,1900-1949,Гегело А.И,"Английская наб., 42 (б. Набережная Красного Флота)",Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 757 от 24.10.1977,59
43,,0,Дом Нарышкина А.Л. (Воронцовых-Дашковых),1736,1700-1749,,"Английская наб., 10; Галерная ул., 9",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,30
44,,0,Дом М. Маркевича,1800,1800-1849,И. Д. Корсини,"Английская наб., 12; Галерная ул., 11",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,450
45,,0,Особняк Дурново П.П,1800,1800-1849,Фонтана Л.Ф,"Английская наб., 16; Галерная ул., 15",Адмиралтейский,1,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,36
46,,0,Дом С.П. Горсткина (С.М. Толстого),1800,1800-1849,Ц.А. Кавос ;И.П. Маас ;А.С. Хренов,"Английская наб., 22; Замятин пер., 1",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,452
47,,0,Дом О.Н. Варгуниной (В.В. Скаржинского),1800,1800-1849,А.Ф. Щедрин ;А.Ф. Занфтлебен ;Г.В. Войневич,"Английская наб., 24; Галерная ул., 23",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,453
48,,0,Дома купца Челышева,1800,1800-1849,Мельников А.И,"Английская наб., 26 (б. Красного флота наб.); Галерная ул., 25",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,38
49,,0,Дом фон Дервиза П.П. (Великого князя Андрея Владимировича) с дворовыми флигелями,1800,1800-1849,Красовский А.Ф,"Английская наб., 28; Галерная ул., 27",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,39
50,,0,Дом Майера Э.М,1825,1800-1849,Бернгард Р.Б.;Бернгард Р.Б.;Рахау К,"Английская наб., 30; Галерная ул., 29",Адмиралтейский,1,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,40
51,,0,Коллегия Иностранных дел (дом Куракина Б.А.),1750,1750-1799,Башмаков М.А.;Кваренги Д,"Английская наб., 32, Галерная ул.,31",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,41
52,,0,Дом фон Дервиза С.П. с дворовыми флигелями,1800,1800-1849,Миллер Ф.;Шрейбер П.П,"Английская наб., 34; Галерная ул., 33",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,42
53,,0,"Дом А.Ф. Кларка (здание общества ""Мазут"")",1800,1800-1849,В.А. Шретер ;Н.Л. Марков,"Английская наб., 38; Галерная ул., 39; Труда пл., 1",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,455
54,,0,"Дом Румянцева Н.П. (Кочубея Е.Л.), арх. Глинка В.А., ск. Мартос И.П., арх. Цим И.-А., арх. Степанов А.А",1720,1700-1749,Глинка В.А.;Мартос И.П.;Цим И.А.;Степанов А.А,"Английская наб., 44; Галерная ул., 45",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,43
55,,0,Дома П.К.Ферзена (А.Я.Прозорова),1750,1750-1799,,"Английская наб., 48; Галерная ул., 49",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,44
56,Дома П.К.Ферзена (А.Я.Прозорова),1,Дом № 48,1800,1800-1849,Садовников П.С.;Карлович В.М,"Английская наб., 48",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,45
57,Дома П.К.Ферзена (А.Я.Прозорова),1,Дом № 49,1800,1800-1849,Боссе Г.Э.;Кенель В.А,"Галерная ул., 49",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,46
58,,0,Дом Лаваль А.Г,1730,1700-1749,Воронихин А.Н.;Тома Томон Ж.Ф.;Ротач А.Л,"Английская наб., 4; Галерная ул., 3",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,27
59,,0,Дом Стенбок-Ферморов (дом Капниста),1800,1800-1849,,"Английская наб., 50; Галерная ул., 51",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,47
60,,0,Дом Потемкина А.Я. (Струкова),1730,1700-1749,,"Английская наб., 52; Галерная ул., 53",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,48
61,,0,Дворец Великого князя Михаила Александровича с дворовыми флигелями,1800,1800-1849,Рахау К.К.;Мельцер Р.Ф,"Английская наб., 54; Галерная ул., 55",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,49
62,,0,Церковь англиканская Иисуса Христа,1730,1700-1749,Кваренги Д.;Болтенгаген Ф.К,"Английская наб., 56; Галерная, 57",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,50
63,Церковь англиканская Иисуса Христа,1,Дом жилой,1730,1700-1749,Кваренги Д.;Болтенгаген Ф.К,"Английская наб., 56; Галерная, 57",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,51
64,Церковь англиканская Иисуса Христа,1,Корпуса служебные (два),1730,1700-1749,Кваренги Д.;Болтенгаген Ф.К,"Английская наб., 56; Галерная, 57",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,52
65,Церковь англиканская Иисуса Христа,1,Церковь,1730,1700-1749,Кваренги Д.;Болтенгаген Ф.К,"Английская наб., 56; Галерная, 57",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,53
66,,0,Дома Е.Занадворской,1800,1800-1849,Дютель Ю.А,"Английская наб., 58 (б. Красного Флота, наб.); Галерная ул., 59",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,54
67,,0,Дом Теплова,1800,1800-1849,Мижуев П.П,"Английская наб., 60 (б. Красного Флота, наб.); Галерная ул., 61",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,55
68,,0,Дома кн. Л.Д.Вяземского,1800,1800-1849,Мижуев П.П.;Бульери Л.Ф,"Английская наб., 66 (б. Красного Флота, наб.); Галерная ул., 67",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,56
69,,0,Дом Штиглица А.Л. (дворец Великого князя Павла Александровича),1859,1850-1899,Кракау А.И.;Месмахер М.Е,"Английская наб., 68; Галерная ул., 69",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,57
70,,0,Особняк Казалета Э.П. (Тенишевых),1800,1800-1849,Стуккей В.Е.;Берзен Р.А,"Английская наб., 6; Галерная ул., 5",Адмиралтейский,1,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,28
71,,0,"Дом Виллие Я.В. (Демидова, Гауша)",1737,1700-1749,,"Английская наб., 74; Ново-Адмиралтейского кан. наб., 2",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,58
72,,0,Дом Паскевича Ф.И. с дворовыми флигелями,1800,1800-1849,Пель А.Х.;Гедике Р.А,"Английская наб., 8; Галерная ул., 7",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,29
73,,0,Дом М.Н. Челищева (М.Л. и И.Л. Варшавских),1800,1800-1849,Н.В. Трусов ;М.Ю. Капелинский,"Английская наб., д. 62, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 126-р от 22.03.2017,464
74,,0,Дом С.В. Линдес (Здание Шведского посольства),1800,1800-1849,Шарлемань ;И.И. Цим ;В. А. Шретер ;Ф. Лилльеквист,"Английская наб., д. 64, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 125-р от 22.03.2017,465
75,,0,Здание кондитерской фабрики «Жорж Борман»,1912,1900-1949,П.П. Павлов;В.В. Виндельбандт,"Английский пр., 16; ул. Писарева, 3",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,862
76,,0,"Дом, в котором: жила в 1909-1910 гг. актриса Комисаржевская Вера Федоровна (кв. 7); жил с 1908 г. и умер в 1940 г. океанограф академик Шокальский Юлий Михайлович (кв. 19); в помешениях училища Витмер О.К. неоднократно бывал Ленин В.И. (1905-1906 гг.)",NA,,,"Английский пр., 27; Союза Печатников ул., 27",Адмиралтейский,1,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,74
77,,0,"Здания, где в 1897-1919 гг. находились Высшие курсы физического образования (курсы Лесгафта). Здесь жили и работали: в 1897-1909 гг. - основатель курсов Лесгафт П.Ф., в 1907-1941гг. - революционер Морозов Н.А., в 1913-1958 гг. - физиолог Орбели Л.А",NA,,,"Английский пр., 32; Союза Печатников ул., 25-а",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,75
78,,0,Особняк А.К. Пампеля,1880,1850-1899,В.А. Шретер,"Английский пр., 4-6, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,469
79,,0,"Дом, XIX в. Здесь в 1906-1907 гг. Ленин В.И. принимал участие в партийных собраниях",NA,,,"Английский пр., 41; Садовая ул., 105; Канонерская ул., 26",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,76
80,,0,Дом фан Гильзе фан дер Пальса Г.Г,1901,1900-1949,Иогансен В.Ю,"Английский пр., 8-10",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,69
81,Дом фан Гильзе фан дер Пальса Г.Г,1,Дом жилой,1901,1900-1949,Иогансен В.Ю,"Английский пр., 8-10",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,70
82,Дом фан Гильзе фан дер Пальса Г.Г,1,Службы,1901,1900-1949,Иогансен В.Ю,"Английский пр., 8-10",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,71
83,Дом фан Гильзе фан дер Пальса Г.Г,1,Ограды (две),NA,,,"Английский пр., 8-10",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,72
84,Дом фан Гильзе фан дер Пальса Г.Г,1,Ворота,NA,,,"Английский пр., 8-10",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,73
85,,0,Жилой дом,1800,1800-1849,,"Антоненко пер., 10; Казанская ул., 31",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,472
86,,0,Дом Е.Ф. Брюна,1837,1800-1849,А.М. Болотов,"Антоненко пер., 6, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 939-рп от 17.07.2024,471
87,,0,"Дом, где в 1840 - 1841 гг. жил писатель и философ Герцен А.И",NA,,,"Большая Морская ул., 25; Гороховая ул., 11",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,77
88,,0,Дом Петерсона (Лобановых-Ростовских),1730,1700-1749,М.Г. Земцов;Л.Ф. Вендрамини;Ф.И. Эппингер;И.А. Мерц,"Большая Морская ул., 31",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,765
89,,0,Банк для внешней торговли Русский с флигелями,1887,1850-1899,Шретер В.А,"Большая Морская ул., 32",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,78
90,,0,"Дом, где в читальне книжного магазина газеты ""Новости"" в 1895 г. Ленин В.И. встречался с петербургскими марксистами",NA,,,"Большая Морская ул., 33",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,79
91,,0,"Дома страхового общества ""Россия""",1900,1900-1949,,"Большая Морская ул., 35, 37",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,80
92,"Дома страхового общества ""Россия""",1,Дом жилой,1905,1900-1949,Ваулин П.К.;Гимпель А.А.;Ильяшев В.В.;Рерих Н.К,"Большая Морская ул., 35",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,81
93,"Дома страхового общества ""Россия""",1,Дом жилой,1825,1800-1849,Бенуа Л.Н.;Леви З.Я,"Большая Морская ул., 37",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,82
94,"Дома страхового общества ""Россия""",1,Флигель,1900,1900-1949,Гимпель А.А,"Большая Морская ул., 37 (во втором дворе)",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,83
95,,0,Дом Паулуччи А.Ф. Здесь в декабре 1905 - январе 1906 гг. проходили заседания ЦК и ПК РСДРП,1873,1850-1899,Макаров М.А.;Иванов А.В,"Большая Морская ул., 36",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,84
96,,0,Дом Общества поощрения художеств с дворовыми флигелями,1800,1800-1849,Месмахер М.Е.;Китнер И.С,"Большая Морская ул., 38; Мойки р. наб., 83",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,85
97,,0,"Гостиница ""Астория""",1911,1900-1949,Лидваль Ф.И,"Большая Морская ул., 39, лит. А; Вознесенский пр., 12",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,86
98,,0,Дом Первого Российского страхового общества,1800,1800-1849,Пуншель Ф.К.;Шперер Л.Ф.;Бенуа Л.Н.;Бенуа Ю.Ю,"Большая Морская ул., 40; Мойки р. наб., 85",Адмиралтейский,1,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,87
99,,0,Дом Демидова П.Н. (посольство Италии),1800,1800-1849,Жак Т.Н.;Монферран О.Р,"Большая Морская ул., 43",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,88
100,,0,Дом Демидова П.Н. (Гагариной В.Ф.),1800,1800-1849,Монферран О.Р.;Месмахер М.Е.;Штром И.В,"Большая Морская ул., 45",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,89
101,,0,Дом Набоковой Е.И. с дворовыми флигелями. Здесь родился и в 1899-1917 гг. жил писатель Набоков В.В,1800,1800-1849,Яфа Л.Ф.;Гейслер М.Ф.;Гуслистый Б.Ф,"Большая Морская ул., 47",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,90
102,,0,Дом А.С. Уварова (В.А. Грейга),1800,1800-1849,А.В. Петцольд ;Н.В. Трусов;Н.А. Гаккель,"Большая Морская ул., 48; Мойки р. наб., 93",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,766
103,,0,Дом С. Крамера (Г.А. Лепена),1800,1800-1849,Э.Г. Шуберский ;И.И. Цим,"Большая Морская ул., 50; Мойки р. наб., 95",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,767
104,,0,Дом Салтыковой,1852,1850-1899,Боссе Г.Э.;Садовников П.С,"Большая Морская ул., 51",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,91
105,,0,Дом Половцова А.А. с дворовыми флигелями,1800,1800-1849,Пель А.Х.;Брюллов Н.Ф.;Эппингер Ф.И.;Месмахер М.Е,"Большая Морская ул., 52; Мойки р. наб., 97",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,92
106,,0,Дом Бильдерлинга П.В,1825,1800-1849,Шперер Л.Ф,"Большая Морская ул., 53; Почтамтский пер., 8",Адмиралтейский,1,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,93
107,,0,Дом А.Г. Жомини (А.Г. Клейбер),1759,1750-1799,Андр. В. Квасов;П.И. Таманский;В.М. Карлович,"Большая Морская ул., 54; Мойки р. наб., 99",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,768
108,,0,Дом Карамзина В.Н. (Коровиной Л.Н.) с дворовыми флигелями,1800,1800-1849,Боссе Г.Э.;Прокофьев Н.Д,"Большая Морская ул., 55; Почтамтский пер., 7",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,94
109,,0,Дом А.П. Козлова,1800,1800-1849,Н.П. Гребенка,"Большая Морская ул., 56; Почтамтский пер., 10; Мойки р. наб., 101",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,769
110,,0,Особняк Л.C.Заешниковой,1800,1800-1849,А.К. Кольман,"Большая Морская ул., 57, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,770
111,,0,Дом культуры работников связи (быв. Немецкая реформатская церковь),1862,1850-1899,Г.А. Боссе ;Д.И. Гримм ;К.К. Рахау ;П.М. Гринберг;Г.С. Райц,"Большая Морская ул., 58; Почтамтский пер., 9; Мойки р. наб., б/№",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,771
112,,0,Особняк Г.П.Митусова (Э.Ф.Юнкера),1800,1800-1849,А.К. Кольман ;А.Л. Гун,"Большая Морская ул., 59, литера А",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,772
113,,0,Усадьба Ломоносова М.В,1757,1750-1799,,"Большая Морская ул., 61; Почтамская ул., 16-18",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,95
114,,0,Съезжий дом 1-й Адмиралтейской части,1750,1750-1799,Н.П. Гребенка,"Большая Морская ул., 63",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,773
115,,0,Казармы лейб-гвардии Конного полка,1844,1800-1849,Черник И.Д.;Апышков В.П,"Большая Морская ул., 67; Труда ул., 8-10; Якубовича ул., 26; Конногвардейский пер., 3-5",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,96
